S.No.,User_query,Bot_reply,Relevant
1,abd villiers aur virat kohli me kaun best hai,"Sorry, I can't interpret that. Please ask me anything related to real estate.",No
2,I want a place to live in Gurgaon.,"Sure, let me help you choose from a variety of options available. ",Yes
3,Show me the weather in Gurgaon.,We don't have that facility right now.,No
4,Can you show me a place where I can play tennis?,"Yes, let me look up the best alternatives available. ",Yes
5,Hello there.How can you help me?,Hi! I can help you find places to rent or purchase in Gurgaon.,Yes
6,abds eijf oeljd,"Sorry, I cannot interpret that. Please ask me about real estate projects.",No
7,I am looking for a 2BHK apartment ,"Alright, let me help you choose from the various options available.",Yes
8,I want to rent ,"Okay, let me find out some good options for you.",Yes
9,Want to buy a 4BHK on Sohna Road,Can you help me narrow down your choices by giving me more of your requirement details?,Yes 
10,Do you have properties on Golf Course Road?,"Yes, we have a number of properties for you to look at. Can you provide further details of your requirements?",Yes
11,What areas do you have in Gurgaon?,"We have six localities you can chose from: Sohna Road, Golf Course Road, Golf Course Extension Road, Dwarka Expressway, New Gurgaon and M.G Road. Which locality are you interested in?",Yes 
12,Do you have properties to rent or buy?,We have properties to rent and buy. What are you looking for?,Yes
13,"I want a penthouse, what is the price?","Let me look that up for you, can you tell me more of what you require?",Yes
14,I need a PG place on Golf Course Extension,Let me help you look for the best options available.,Yes
15,"Can I rent a 2BHK for 30,000?","Sure, let me find out suitable options available for you.",Yes 
16,What is the weather like in Gurgaon?,"I am sorry, we are not currently able to provide this information. Please ask me about real estate projects. ",No 
17,Do you only have properties in Gurgaon?,"Yes, at the moment. However, we are working on expanding this. Watch this space!",Yes
18,I want an apartment in Shispal Vihar.,Let me look up the top options for you. what are your other requirements?,Yes 
19,I want to see apartments available by DLF.,"Sure, can you furnish further details of what you require?",Yes
20,I need a Vipul Group apartment on Golf Course Road ,"Great, let me look up the best options for you. What are your other requirements?",Yes 
21,I want an apartment near Heritage School.,"Alright, what are your other requirements?",Yes 
22,"I want an apartment with a swimming pool, budget of 50,000","Okay, is there anything else that would be a necessity?",Yes 
23,I want an apartment with a clubhouse which has a gym on M.G. Road,Let me look up the most suitable options for you.,Yes
24,How many projects are there in Gurgaon?,We currently have multiple projects in Gurgaon. Can we help you find a place?,Yes 
25,How many under construction projects have DLF got?,Looking for the desired information...,Yes
26,I want an apartment. Can you show me ones on M.G Road?,"Yes, we have multiple property options to choose from. What else do you require?",Yes 
27,I need help. Can you help me?,"Yes, what can I help you look for?",Yes 
28,I want to buy. Can you also show me places in New Gurgaon?,"Yes, of course. We have multiple property options to choose from. What are your requirements? ",Yes 
29,I want a place in Pune. Can you show me these?,We're only limited to Gurgaon at the moment. Can I help you with anything in Gurgaon?,No
30,"I want a place to buy. How many places do you have above 70,000?","We have multiple property options to choose from in Gurgaon, what are your other requirements?.",Yes 
31,I am tired ,I am sorry I am not able to interpret that. Please ask me something else.,No 
32,Can someone from your team call me?,"I am sorry we do not offer that facility. However, please view our contact us page to get in touch with us.",No
33,Do you have any jobs?,"I am unable to answer that question, please contact us to speak to someone in the team. ",No 
34,Is Emaar a good developer?,"We provide an efficient review and rating system, you can view this for all your preferred projects in Gurgaon.",No
35,I am hot ,I am sorry I am not able to interpret that. Please ask me something else.,No 
36,Do most projects have worker clearance? ,Let me find out the desired information. ,Yes 
37,I want an apartment in GGN,Let me help you with that. What are your other requirements?,Yes
38,I want a flat in gurugram,Let me help you look for what is most suitable. ,Yes
39,Spacious apartment in GGN,Tell me your other requirements and I'll show you options most suitable for you.,Yes
40,I want an apartment in ggn with a great golf course.,"Okay, Let me find the best options available.",Yes
41,I want an apartment near Sohna Road,"Alright, let me look for the best options for you.",Yes
42,I want to buy an apartment which is under construction.,What are your other requirements from the project?,Yes
43,"Hey, can you help me out?",Absolutely. What are you looking for?,Yes
44,I want an office space on Sohna road.,"I am sorry, we currently cover only residential spaces.",Yes
45,Can you suggest some good brokers to find a flat on M.G.Rad?,I am sorry. We don't deal with brokers.,Yes
46,Do you deliver food too?,"Sorry, I cannot interpret that. Please ask me about real estate projects.",No
47,I want a place to stay in Delhi,I am sorry. We currently cover only Gurgaon. Can I help you with anything in Gurgaon?,Yes
48,Can you suggest a society with good sports facilities?,"Yes, let me filter the best options available. ",Yes
49,I want an aparmtent in Delhi NCR.,We currently cover only Gurgaon under NCR.,Yes
50,Who are the top developers in Gurgaon?,We provide an efficient rating and review system for all developers in Gurgaon.,Yes
51,I want an apartment in Vipul Greens,Great. Let me help you with your selection.,Yes
52,I am hungry,"I am sorry, I am not able to interpret that. Please ask me something else.",No
53,abcd efgh ijkl mnop,"Sorry, I cannot interpret that. Please ask me about real estate projects.",No
54,Does ABW La Lagune provide Power Backup?,Let me check that for you.,Yes
55,Show me user reviews for Adani aangan.,Watch the space below for the required information,Yes
56,"Show me fully furnished, ready to move in apartments in GGN",Let me help you make a choice. What are your other requirements?,Yes
57,I have 3 dogs. Show me societies that are pet friendly.,"Alright, what are your other requirements?",Yes
58,What are the best schools available near Adani oyster grande?,Let me find that out for you.,Yes
59,What are the best hospitals available near Gurgaon one ?,Hold on as I look for the required information.,Yes
60,What are the markets available near Antriksh zeal?,Searching for the desired information..,Yes
61,What are the best gyms available near Ansal housing Highland park?,Let me quickly find that out for you.,Yes
62,How far is Ansal API estella from the nearest Metro Station?,Let me look that up.,Yes
63,How far is Ansals amantre from the nearest Railway Station?,Calculating the requested information..,Yes
64,How far is Antriksh Heights from the Domestic Airport?,Let me look for what you require.,Yes
65,What is the nearest bus-stand from Aashiana The center court?,Let me find that out for you.,Yes
66,What are the nearest Malls around Assotech Breeze?,Searching for the best options for you to choose from.,Yes
67,How far is the nearest petrol station from Assotech Blith?,Let me look that up for you.,Yes
68,How far is ATS Kocoon from the Expressway?,Calculating the requested information..,Yes
69,I want a 3BHK Gurgaon which is Vastu Compliant,"Okay, what are your other requirements?",Yes
70,How many ATMs are available inside ATS Tourmaline?,Let me find that out for you.,Yes
71,Looking for a Society in GGN which provides Day Care Services,There are multiple options for you to choose from. What else do you require?,Yes
72,Does ATS triumph provide Laundry Services?,Let me find out about the required service.,Yes
73,What societies in GGN provide the best security?,We provide property listings aided by genuine user reviews and ratings. Let me look up the desired information.,Yes
74,Show me societies which provide multiple parking spaces per apartment.,Let me find out about the required service.,Yes
75,Does ATS Tangerine have a Squash Court?,Let me check that for you.,Yes
76,I have a 2BHK in ATS Tangerine. I wish to put it on rent. Find me prospective buyers,"Sorry, we do not provide that facility. I can help you with renting or buying property. ",No
77,I want to sell my apartment which is in ATS Triumph. ,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
78,Find apartment sharing options in GGN for bachelors ,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
79,I want an apartment near my office.,Let me help you look for it. What are your other requirements?,Yes
80,Hi,"Hello there, how can I help you?",Yes
81,"Looking for an apartment to rent on M.G. Road within 40,000. ",Let me help you make a choice. What are your other requirements?,Yes
82,"A 3 bedroom house on M.G. Road within 40,000",Let me show you options suitable to your necessity. ,Yes
83,What are the best underconstruction projects in GGN to invest in?,Let me show you the top options to choose from.,Yes
84,Restart,"Hello there, how can I help you?",Yes
85,Can you help me schedule a visit to AWHO Sispal Vihar?,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
86,How far is the nearest police station from Central Park I?,Let me find out the required information.,Yes
87,What are the nearest banks around Bestech park View City 1?,Let me search for the required information,Yes
88,Give me the configuration of a 2BHK apartment in Bestech Park view ananda.,Looking for information on the selected property...,Yes
89,What are the best sports and recreational clubs around BTPL Beverly towers?,Let me look for the best options available.,Yes
90,How long will it take from BTPL Beverly towers to reach the nearest club?,Let me calculate that for you.,Yes
91,What are the best Cinemas around BPTP Park Prime?,Let me look for the best options available near you.,Yes
92,How far is PVR from BPTP Park Prime?,Please wait while I generate the required information.,Yes
93,Cinemas near BPTP Park Prime,Let me look for the best options available near you.,Yes
94,How long will it take from BPTP Park Prime to reach PVR Cinemas?,Let me calculate that for you,Yes
95,What are the nearest Cinemas around BPTP Park Prime?,Let me look for the best options available,Yes
96,Are there any good pre-schools available inside BPTP spacio?,"Yes, let me show you the best options available of your choice of service.",Yes
97,Pre-schools around BPTP spacio,Let me show you a listing of the best options available for you.,Yes
98,What are the nearest pre-schools around BPTP spacio?,Let me show you the best options available for you.,Yes
99,How far is BPTP spacio from the nearest Pre-School?,Calculating the desired information...,Yes
100,How long will it take from BPTP spacio to reach the nearest pre-School?,Let me calculate that for you,Yes
101,What are the most prominent pre-schools available near BPTP spacio?,Let me show you the best options available of your choice of service.,Yes
102,What are the nearest day-care centers around BPTP Park Serene?,Let me look up the best options available of your choice of service.,Yes
103,What are the most prominent day-care centers available near BPTP Park Serene?,Let me find out the best options available of your choice of service.,Yes
104,Are there any Day care centers available inside BPTP Park Serene?,Hold on as I enquire about your choice of service.,Yes
105,Day-care centers around BPTP Park Serene,Let me show you the best options available of your choice of service.,Yes
106,Show me user ratings for Day Care Centers inside BPTP Park Serene.,Roofpik provides an efficient system of user reviews and ratings for you to make the best decision. Here are the user reviews of your service of choice.,Yes
107,What are the nearest supermarkets available around BPTP Amstoria?,Let me show you the best options available of your choice of service.,Yes
108,Super markets around BPTP Amstoria,Let me show you the best options available near your choice of location.,Yes
109,How far is BPTP Amstoria from the nearest supermarket?,Calculating distance from your choice of location to the nearest super market...,Yes
110,What is the biggest supermarket near BPTP Amstoria?,Let me look that up for you,Yes
